================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
squirrel                       sparrow                        90.94%    
squirrel                       parrot                         89.71%    
squirrel                       finch                          92.72%    
squirrel                       canary                         92.07%    
squirrel                       bee                            83.50%    
squirrel                       butterfly                      87.81%    
squirrel                       ladybug                        91.28%    
squirrel                       snail                          83.37%    
squirrel                       frog                           88.62%    
squirrel                       cricket                        73.72%    
squirrel                       tamarin                        80.00%    
squirrel                       wallaby                        90.19%    
squirrel                       wombat                         89.49%    
squirrel                       zebra                          90.80%    
squirrel                       flamingo                       87.17%    
squirrel                       peacock                        92.68%    
squirrel                       bat                            92.30%    
squirrel                       fox                            92.31%    
squirrel                       beaver                         90.31%    
squirrel                       monkey                         89.94%    
squirrel                       seal                           87.21%    
squirrel                       robin                          92.35%    
squirrel                       loon                           44.38%    
squirrel                       swan                           89.52%    
squirrel                       goldfish                       88.88%    
squirrel                       minnow                         92.75%    
squirrel                       mole                           90.67%    
squirrel                       shrew                          89.02%    
squirrel                       puffin                         92.65%    
squirrel                       owl                            93.47%    
squirrel                       bunny                          79.97%    
squirrel                       bear                           82.78%    
squirrel                       chipmunk                       82.84%    
squirrel                       cub                            78.55%    
squirrel                       acorn                          86.62%    
squirrel                       leaf                           86.01%    
squirrel                       cloud                          14.60%    
squirrel                       rainbow                        89.69%    
squirrel                       puddle                         92.71%    
squirrel                       berry                          76.15%    
squirrel                       apple                          88.87%    
squirrel                       honey                          82.64%    
squirrel                       pumpkin                        85.37%    
squirrel                       teddy                          89.65%    
squirrel                       blanket                        84.48%    
squirrel                       button                         88.77%    
squirrel                       whistle                        88.18%    
squirrel                       marble                         91.07%    
squirrel                       wagon                          83.01%    
squirrel                       storybook                      91.81%    
squirrel                       candle                         83.13%    
squirrel                       clover                         83.23%    
squirrel                       bubble                         84.14%    
squirrel                       cookie                         82.37%    
dolphin                        penguin                        95.37%    
dolphin                        turtle                         91.23%    
dolphin                        elephant                       80.89%    
dolphin                        giraffe                        96.08%    
dolphin                        lamb                           85.81%    
dolphin                        goat                           87.36%    
dolphin                        cow                            34.36%    
dolphin                        horse                          71.81%    
dolphin                        donkey                         85.55%    
dolphin                        pony                           96.64%    
dolphin                        llama                          97.52%    
dolphin                        mouse                          85.64%    
dolphin                        hamster                        84.08%    
dolphin                        guinea                         77.27%    
dolphin                        duck                           83.91%    
dolphin                        chicken                        81.91%    
dolphin                        sparrow                        95.34%    
dolphin                        parrot                         91.14%    
dolphin                        finch                          96.88%    
dolphin                        canary                         96.14%    
dolphin                        bee                            83.33%    
dolphin                        butterfly                      89.24%    
dolphin                        ladybug                        92.92%    
dolphin                        snail                          83.62%    
dolphin                        frog                           89.29%    
dolphin                        cricket                        75.96%    
dolphin                        tamarin                        79.51%    
dolphin                        wallaby                        90.16%    
dolphin                        wombat                         89.59%    
dolphin                        zebra                          89.52%    
dolphin                        flamingo                       86.45%    
dolphin                        peacock                        96.94%    
dolphin                        bat                            97.22%    
dolphin                        fox                            94.89%    
dolphin                        beaver                         89.44%    
dolphin                        monkey                         91.50%    
dolphin                        seal                           85.35%    
dolphin                        robin                          96.33%    
dolphin                        loon                           45.10%    
dolphin                        swan                           91.66%    
dolphin                        goldfish                       89.82%    
dolphin                        minnow                         95.72%    
dolphin                        mole                           92.35%    
dolphin                        shrew                          90.88%    
dolphin                        puffin                         97.20%    
dolphin                        owl                            95.50%    
dolphin                        bunny                          79.20%    
dolphin                        bear                           81.22%    
dolphin                        chipmunk                       84.73%    
dolphin                        cub                            77.99%    
dolphin                        acorn                          87.58%    
dolphin                        leaf                           79.06%    
dolphin                        cloud                          14.44%    
dolphin                        rainbow                        90.41%    
dolphin                        puddle                         96.82%    
dolphin                        berry                          75.51%    
dolphin                        apple                          88.86%    
dolphin                        honey                          81.63%    
dolphin                        pumpkin                        86.67%    
dolphin                        teddy                          91.19%    
dolphin                        blanket                        85.10%    
dolphin                        button                         88.14%    
dolphin                        whistle                        88.63%    
dolphin                        marble                         94.37%    
dolphin                        wagon                          83.21%    
dolphin                        storybook                      92.04%    
dolphin                        candle                         82.21%    
dolphin                        clover                         80.11%    
dolphin                        bubble                         84.12%    
dolphin                        cookie                         82.81%    
penguin                        turtle                         89.39%    
penguin                        elephant                       79.48%    
penguin                        giraffe                        95.49%    
penguin                        lamb                           83.97%    
penguin                        goat                           85.62%    
penguin                        cow                            33.60%    
penguin                        horse                          71.65%    
penguin                        donkey                         83.80%    
penguin                        pony                           94.45%    
penguin                        llama                          95.27%    
penguin                        mouse                          86.55%    
penguin                        hamster                        84.31%    
penguin                        guinea                         76.94%    
penguin                        duck                           82.11%    
penguin                        chicken                        80.87%    
penguin                        sparrow                        94.95%    
penguin                        parrot                         91.12%    
penguin                        finch                          95.33%    
penguin                        canary                         95.31%    
penguin                        bee                            82.97%    
penguin                        butterfly                      87.97%    
penguin                        ladybug                        92.28%    
penguin                        snail                          83.46%    
penguin                        frog                           87.04%    
penguin                        cricket                        75.24%    
penguin                        tamarin                        79.44%    
penguin                        wallaby                        89.19%    
penguin                        wombat                         88.39%    
penguin                        zebra                          89.08%    
penguin                        flamingo                       87.03%    
penguin                        peacock                        95.55%    
penguin                        bat                            93.81%    
penguin                        fox                            91.80%    
penguin                        beaver                         89.37%    
penguin                        monkey                         88.44%    
penguin                        seal                           86.73%    
penguin                        robin                          95.43%    
penguin                        loon                           43.77%    
penguin                        swan                           90.68%    
penguin                        goldfish                       88.27%    
penguin                        minnow                         95.53%    
penguin                        mole                           89.27%    
penguin                        shrew                          88.28%    
penguin                        puffin                         95.41%    
penguin                        owl                            95.58%    
penguin                        bunny                          67.95%    
penguin                        bear                           80.97%    
penguin                        chipmunk                       82.05%    
penguin                        cub                            79.54%    
penguin                        acorn                          84.47%    
penguin                        leaf                           84.00%    
penguin                        cloud                          14.33%    
penguin                        rainbow                        89.58%    
penguin                        puddle                         95.39%    
penguin                        berry                          75.34%    
penguin                        apple                          89.18%    
penguin                        honey                          79.20%    
penguin                        pumpkin                        83.93%    
penguin                        teddy                          89.94%    
penguin                        blanket                        83.97%    
penguin                        button                         87.27%    
penguin                        whistle                        87.53%    
penguin                        marble                         91.17%    
penguin                        wagon                          78.77%    
penguin                        storybook                      91.33%    
penguin                        candle                         83.44%    
penguin                        clover                         83.75%    
penguin                        bubble                         82.94%    
penguin                        cookie                         80.84%    
turtle                         elephant                       92.78%    
turtle                         giraffe                        92.03%    
turtle                         lamb                           81.19%    
turtle                         goat                           82.69%    
turtle                         cow                            95.53%    
turtle                         horse                          93.32%    
turtle                         donkey                         80.36%    
turtle                         pony                           91.86%    
turtle                         llama                          92.51%    
turtle                         mouse                          94.68%    
turtle                         hamster                        79.84%    
turtle                         guinea                         93.07%    
turtle                         duck                           62.42%    
turtle                         chicken                        93.01%    
turtle                         sparrow                        88.78%    
turtle                         parrot                         93.30%    
turtle                         finch                          92.28%    
turtle                         canary                         99.18%    
turtle                         bee                            90.68%    
turtle                         butterfly                      84.24%    
turtle                         ladybug                        94.19%    
turtle                         snail                          92.54%    
turtle                         frog                           94.72%    
turtle                         cricket                        72.68%    
turtle                         tamarin                        77.19%    
turtle                         wallaby                        85.56%    
turtle                         wombat                         95.70%    
turtle                         zebra                          85.82%    
turtle                         flamingo                       93.19%    
turtle                         peacock                        92.30%    
turtle                         bat                            90.39%    
turtle                         fox                            91.17%    
turtle                         beaver                         99.84%    
turtle                         monkey                         84.29%    
turtle                         seal                           97.69%    
turtle                         robin                          92.45%    
turtle                         loon                           99.84%    
turtle                         swan                           86.55%    
turtle                         goldfish                       95.15%    
turtle                         minnow                         91.86%    
turtle                         mole                           86.66%    
turtle                         shrew                          70.06%    
turtle                         puffin                         98.87%    
turtle                         owl                            88.40%    
turtle                         bunny                          75.88%    
turtle                         bear                           94.61%    
turtle                         chipmunk                       80.53%    
turtle                         cub                            98.94%    
turtle                         acorn                          91.64%    
turtle                         leaf                           80.82%    
turtle                         cloud                          97.88%    
turtle                         rainbow                        90.93%    
turtle                         puddle                         92.20%    
turtle                         berry                          93.58%    
turtle                         apple                          99.57%    
turtle                         honey                          78.48%    
turtle                         pumpkin                        99.99%    
turtle                         teddy                          86.24%    
turtle                         blanket                        80.21%    
turtle                         button                         99.43%    
turtle                         whistle                        99.69%    
turtle                         marble                         87.56%    
turtle                         wagon                          99.63%    
turtle                         storybook                      99.67%    
turtle                         candle                         78.98%    
turtle                         clover                         93.32%    
turtle                         bubble                         80.30%    
turtle                         cookie                         77.65%    
elephant                       giraffe                        80.33%    
elephant                       lamb                           78.66%    
elephant                       goat                           77.70%    
elephant                       cow                            99.57%    
elephant                       horse                          72.51%    
elephant                       donkey                         54.70%    
elephant                       pony                           80.51%    
elephant                       llama                          79.93%    
elephant                       mouse                          75.42%    
elephant                       hamster                        76.86%    
elephant                       guinea                         75.71%    
elephant                       duck                           69.73%    
elephant                       chicken                        59.40%    
elephant                       sparrow                        79.73%    
elephant                       parrot                         85.34%    
elephant                       finch                          80.28%    
elephant                       canary                         96.61%    
elephant                       bee                            70.86%    
elephant                       butterfly                      78.58%    
elephant                       ladybug                        93.99%    
elephant                       snail                          78.90%    
elephant                       frog                           82.08%    
elephant                       cricket                        72.01%    
elephant                       tamarin                        53.78%    
elephant                       wallaby                        78.48%    
elephant                       wombat                         80.36%    
elephant                       zebra                          80.12%    
elephant                       flamingo                       97.22%    
elephant                       peacock                        80.85%    
elephant                       bat                            79.60%    
elephant                       fox                            79.87%    
elephant                       beaver                         99.78%    
elephant                       monkey                         49.77%    
elephant                       seal                           99.25%    
elephant                       robin                          80.67%    
elephant                       loon                           99.34%    
elephant                       swan                           78.59%    
elephant                       goldfish                       82.99%    
elephant                       minnow                         80.61%    
elephant                       mole                           78.29%    
elephant                       shrew                          95.80%    
elephant                       puffin                         96.93%    
elephant                       owl                            80.37%    
elephant                       bunny                          76.33%    
elephant                       bear                           96.34%    
elephant                       chipmunk                       75.42%    
elephant                       cub                            96.83%    
elephant                       acorn                          76.09%    
elephant                       leaf                           75.97%    
elephant                       cloud                          99.62%    
elephant                       rainbow                        99.41%    
elephant                       puddle                         80.58%    
elephant                       berry                          67.58%    
elephant                       apple                          89.00%    
elephant                       honey                          76.31%    
elephant                       pumpkin                        99.98%    
elephant                       teddy                          79.29%    
elephant                       blanket                        72.18%    
elephant                       button                         99.84%    
elephant                       whistle                        99.41%    
elephant                       marble                         79.29%    
elephant                       wagon                          95.09%    
elephant                       storybook                      99.13%    
elephant                       candle                         55.74%    
elephant                       clover                         98.11%    
elephant                       bubble                         78.69%    
elephant                       cookie                         61.87%    
giraffe                        lamb                           85.82%    
giraffe                        goat                           87.28%    
giraffe                        cow                            34.28%    
giraffe                        horse                          71.20%    
giraffe                        donkey                         85.82%    
giraffe                        pony                           97.48%    
giraffe                        llama                          98.64%    
giraffe                        mouse                          86.79%    
giraffe                        hamster                        83.48%    
giraffe                        guinea                         77.31%    
giraffe                        duck                           84.24%    
giraffe                        chicken                        81.77%    
giraffe                        sparrow                        95.35%    
giraffe                        parrot                         91.76%    
giraffe                        finch                          97.86%    
giraffe                        canary                         96.22%    
giraffe                        bee                            83.37%    
giraffe                        butterfly                      89.69%    
giraffe                        ladybug                        93.61%    
giraffe                        snail                          83.41%    
giraffe                        frog                           89.40%    
giraffe                        cricket                        75.15%    
giraffe                        tamarin                        79.41%    
giraffe                        wallaby                        90.72%    
giraffe                        wombat                         90.40%    
giraffe                        zebra                          91.00%    
giraffe                        flamingo                       87.06%    
giraffe                        peacock                        98.19%    
giraffe                        bat                            97.47%    
giraffe                        fox                            96.09%    
giraffe                        beaver                         90.33%    
giraffe                        monkey                         91.83%    
giraffe                        seal                           86.77%    
giraffe                        robin                          97.95%    
giraffe                        loon                           44.66%    
giraffe                        swan                           91.79%    
giraffe                        goldfish                       89.53%    
giraffe                        minnow                         98.43%    
giraffe                        mole                           93.04%    
giraffe                        shrew                          91.15%    
giraffe                        puffin                         98.37%    
giraffe                        owl                            98.00%    
giraffe                        bunny                          78.29%    
giraffe                        bear                           82.11%    
giraffe                        chipmunk                       85.56%    
giraffe                        cub                            78.96%    
giraffe                        acorn                          87.60%    
giraffe                        leaf                           85.81%    
giraffe                        cloud                          14.31%    
giraffe                        rainbow                        92.00%    
giraffe                        puddle                         98.34%    
giraffe                        berry                          75.12%    
giraffe                        apple                          88.78%    
giraffe                        honey                          80.34%    
giraffe                        pumpkin                        86.80%    
giraffe                        teddy                          91.64%    
giraffe                        blanket                        84.62%    
giraffe                        button                         89.51%    
giraffe                        whistle                        88.66%    
giraffe                        marble                         94.27%    
giraffe                        wagon                          82.28%    
giraffe                        storybook                      92.37%    
giraffe                        candle                         82.13%    
giraffe                        clover                         83.29%    
giraffe                        bubble                         83.06%    
giraffe                        cookie                         83.27%    
lamb                           goat                           86.09%    
lamb                           cow                            34.51%    
lamb                           horse                          71.21%    
lamb                           donkey                         81.87%    
lamb                           pony                           85.90%    
lamb                           llama                          86.84%    
lamb                           mouse                          83.26%    
lamb                           hamster                        80.95%    
lamb                           guinea                         75.19%    
lamb                           duck                           81.32%    
lamb                           chicken                        77.41%    
lamb                           sparrow                        84.08%    
lamb                           parrot                         84.17%    
lamb                           finch                          86.57%    
lamb                           canary                         84.20%    
lamb                           bee                            80.24%    
lamb                           butterfly                      84.27%    
lamb                           ladybug                        85.81%    
lamb                           snail                          79.84%    
lamb                           frog                           82.66%    
lamb                           cricket                        75.02%    
lamb                           tamarin                        79.03%    
lamb                           wallaby                        82.20%    
lamb                           wombat                         84.99%    
lamb                           zebra                          86.83%    
lamb                           flamingo                       83.08%    
lamb                           peacock                        86.13%    
lamb                           bat                            86.00%    
lamb                           fox                            85.06%    
lamb                           beaver                         84.75%    
lamb                           monkey                         85.01%    
lamb                           seal                           83.76%    
lamb                           robin                          85.85%    
lamb                           loon                           44.44%    
lamb                           swan                           81.72%    
lamb                           goldfish                       85.77%    
lamb                           minnow                         86.40%    
lamb                           mole                           84.61%    
lamb                           shrew                          82.54%    
lamb                           puffin                         85.66%    
lamb                           owl                            86.03%    
lamb                           bunny                          77.71%    
lamb                           bear                           79.29%    
lamb                           chipmunk                       83.29%    
lamb                           cub                            76.56%    
lamb                           acorn                          81.86%    
lamb                           leaf                           82.71%    
lamb                           cloud                          14.36%    
lamb                           rainbow                        83.34%    
lamb                           puddle                         85.92%    
lamb                           berry                          75.17%    
lamb                           apple                          83.73%    
lamb                           honey                          78.54%    
lamb                           pumpkin                        82.07%    
lamb                           teddy                          85.49%    
lamb                           blanket                        81.89%    
lamb                           button                         84.01%    
lamb                           whistle                        84.24%    
lamb                           marble                         83.92%    
lamb                           wagon                          81.09%    
lamb                           storybook                      85.18%    
lamb                           candle                         81.33%    
lamb                           clover                         81.01%    
lamb                           bubble                         83.33%    
lamb                           cookie                         79.39%    
goat                           cow                            33.58%    
goat                           horse                          71.16%    
goat                           donkey                         84.05%    
goat                           pony                           87.82%    
goat                           llama                          87.95%    
goat                           mouse                          86.40%    
goat                           hamster                        82.61%    
goat                           guinea                         76.30%    
goat                           duck                           81.14%    
goat                           chicken                        77.95%    
goat                           sparrow                        85.91%    
goat                           parrot                         85.52%    
goat                           finch                          87.35%    
goat                           canary                         86.15%    
goat                           bee                            80.80%    
goat                           butterfly                      84.51%    
goat                           ladybug                        85.86%    
goat                           snail                          80.72%    
goat                           frog                           85.89%    
goat                           cricket                        74.53%    
goat                           tamarin                        79.49%    
goat                           wallaby                        83.93%    
goat                           wombat                         85.97%    
goat                           zebra                          87.22%    
goat                           flamingo                       85.09%    
goat                           peacock                        87.78%    
goat                           bat                            87.03%    
goat                           fox                            87.12%    
goat                           beaver                         86.47%    
goat                           monkey                         85.00%    
goat                           seal                           86.47%    
goat                           robin                          87.47%    
goat                           loon                           43.88%    
goat                           swan                           83.79%    
goat                           goldfish                       85.22%    
goat                           minnow                         87.97%    
goat                           mole                           84.10%    
goat                           shrew                          82.95%    
goat                           puffin                         87.32%    
goat                           owl                            87.46%    
goat                           bunny                          80.05%    
goat                           bear                           80.75%    
goat                           chipmunk                       77.37%    
goat                           cub                            77.21%    
goat                           acorn                          82.67%    
goat                           leaf                           80.95%    
goat                           cloud                          14.38%    
goat                           rainbow                        85.02%    
goat                           puddle                         87.90%    
goat                           berry                          75.07%    
goat                           apple                          85.89%    
goat                           honey                          82.50%    
goat                           pumpkin                        81.72%    
goat                           teddy                          86.02%    
goat                           blanket                        82.89%    
goat                           button                         84.99%    
goat                           whistle                        85.21%    
goat                           marble                         84.89%    
goat                           wagon                          80.52%    
goat                           storybook                      86.77%    
goat                           candle                         82.31%    
goat                           clover                         82.29%    
goat                           bubble                         84.41%    
goat                           cookie                         79.93%    
cow                            horse                          98.85%    
cow                            donkey                         32.84%    
cow                            pony                           34.16%    
cow                            llama                          34.19%    
cow                            mouse                          98.47%    
cow                            hamster                        33.14%    
cow                            guinea                         97.51%    
cow                            duck                           33.00%    
cow                            chicken                        99.01%    
cow                            sparrow                        33.82%    
cow                            parrot                         96.60%    
cow                            finch                          34.34%    
cow                            canary                         97.84%    
cow                            bee                            98.48%    
cow                            butterfly                      32.91%    
cow                            ladybug                        94.27%    
cow                            snail                          97.35%    
cow                            frog                           97.84%    
cow                            cricket                        31.42%    
cow                            tamarin                        30.83%    
cow                            wallaby                        31.48%    
cow                            wombat                         97.78%    
cow                            zebra                          34.30%    
cow                            flamingo                       93.72%    
cow                            peacock                        34.17%    
cow                            bat                            34.04%    
cow                            fox                            34.03%    
cow                            beaver                         99.55%    
cow                            monkey                         33.54%    
cow                            seal                           96.37%    
cow                            robin                          34.34%    
cow                            loon                           97.70%    
cow                            swan                           32.56%    
cow                            goldfish                       97.44%    
cow                            minnow                         33.99%    
cow                            mole                           34.50%    
cow                            shrew                          91.98%    
cow                            puffin                         98.79%    
cow                            owl                            33.16%    
cow                            bunny                          31.86%    
cow                            bear                           72.28%    
cow                            chipmunk                       33.85%    
cow                            cub                            71.33%    
cow                            acorn                          97.08%    
cow                            leaf                           33.80%    
cow                            cloud                          99.11%    
cow                            rainbow                        77.04%    
cow                            puddle                         34.29%    
cow                            berry                          99.56%    
cow                            apple                          97.91%    
cow                            honey                          32.47%    
cow                            pumpkin                        99.92%    
cow                            teddy                          32.73%    
cow                            blanket                        32.67%    
cow                            button                         99.96%    
cow                            whistle                        99.18%    
cow                            marble                         33.62%    
cow                            wagon                          82.55%    
cow                            storybook                      99.12%    
cow                            candle                         32.69%    
cow                            clover                         80.91%    
cow                            bubble                         32.74%    
cow                            cookie                         32.71%    
horse                          donkey                         62.95%    
horse                          pony                           71.85%    
horse                          llama                          72.37%    
horse                          mouse                          63.33%    
horse                          hamster                        69.41%    
horse                          guinea                         79.04%    
horse                          duck                           68.47%    
horse                          chicken                        71.28%    
horse                          sparrow                        71.61%    
horse                          parrot                         84.91%    
horse                          finch                          72.30%    
horse                          canary                         98.04%    
horse                          bee                            76.50%    
horse                          butterfly                      70.37%    
horse                          ladybug                        97.84%    
horse                          snail                          77.73%    
horse                          frog                           82.20%    
horse                          cricket                        66.39%    
horse                          tamarin                        37.62%    
horse                          wallaby                        70.95%    
horse                          wombat                         90.06%    
horse                          zebra                          71.32%    
horse                          flamingo                       97.73%    
