================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
cat                            sparrow                        86.96%    
cat                            parrot                         85.53%    
cat                            finch                          88.57%    
cat                            canary                         87.09%    
cat                            bee                            79.54%    
cat                            butterfly                      52.63%    
cat                            ladybug                        86.52%    
cat                            snail                          80.24%    
cat                            frog                           84.59%    
cat                            cricket                        74.08%    
cat                            tamarin                        78.12%    
cat                            wallaby                        83.49%    
cat                            wombat                         84.76%    
cat                            zebra                          86.69%    
cat                            flamingo                       83.71%    
cat                            peacock                        87.99%    
cat                            bat                            88.09%    
cat                            fox                            87.66%    
cat                            beaver                         85.48%    
cat                            monkey                         85.11%    
cat                            seal                           83.21%    
cat                            robin                          88.26%    
cat                            loon                           43.83%    
cat                            swan                           85.44%    
cat                            goldfish                       84.90%    
cat                            minnow                         88.53%    
cat                            mole                           86.15%    
cat                            shrew                          84.44%    
cat                            puffin                         87.84%    
cat                            owl                            88.65%    
cat                            bunny                          78.23%    
cat                            bear                           79.56%    
cat                            chipmunk                       80.08%    
cat                            cub                            76.70%    
cat                            acorn                          82.21%    
cat                            leaf                           81.22%    
cat                            cloud                          13.80%    
cat                            rainbow                        85.55%    
cat                            puddle                         88.57%    
cat                            berry                          73.81%    
cat                            apple                          84.02%    
cat                            honey                          80.52%    
cat                            pumpkin                        81.57%    
cat                            teddy                          73.08%    
cat                            blanket                        82.05%    
cat                            button                         83.79%    
cat                            whistle                        81.68%    
cat                            marble                         86.08%    
cat                            wagon                          80.15%    
cat                            storybook                      86.26%    
cat                            candle                         81.17%    
cat                            clover                         80.75%    
cat                            bubble                         82.54%    
cat                            cookie                         78.90%    
rabbit                         deer                           86.10%    
rabbit                         panda                          99.71%    
rabbit                         koala                          15.52%    
rabbit                         otter                          16.63%    
rabbit                         hedgehog                       99.55%    
rabbit                         squirrel                       17.45%    
rabbit                         dolphin                        17.71%    
rabbit                         penguin                        16.96%    
rabbit                         turtle                         96.54%    
rabbit                         elephant                       99.58%    
rabbit                         giraffe                        17.56%    
rabbit                         lamb                           17.55%    
rabbit                         goat                           16.95%    
rabbit                         cow                            92.46%    
rabbit                         horse                          99.03%    
rabbit                         donkey                         16.22%    
rabbit                         pony                           17.81%    
rabbit                         llama                          17.80%    
rabbit                         mouse                          99.89%    
rabbit                         hamster                        16.81%    
rabbit                         guinea                         100.00%   
rabbit                         duck                           9.99%     
rabbit                         chicken                        99.72%    
rabbit                         sparrow                        17.46%    
rabbit                         parrot                         99.34%    
rabbit                         finch                          17.87%    
rabbit                         canary                         99.14%    
rabbit                         bee                            99.23%    
rabbit                         butterfly                      16.61%    
rabbit                         ladybug                        99.42%    
rabbit                         snail                          99.71%    
rabbit                         frog                           99.71%    
rabbit                         cricket                        15.60%    
rabbit                         tamarin                        14.49%    
rabbit                         wallaby                        17.09%    
rabbit                         wombat                         99.17%    
rabbit                         zebra                          17.47%    
rabbit                         flamingo                       98.14%    
rabbit                         peacock                        17.52%    
rabbit                         bat                            17.45%    
rabbit                         fox                            17.53%    
rabbit                         beaver                         99.86%    
rabbit                         monkey                         16.65%    
rabbit                         seal                           99.95%    
rabbit                         robin                          17.64%    
rabbit                         loon                           98.03%    
rabbit                         swan                           16.93%    
rabbit                         goldfish                       99.67%    
rabbit                         minnow                         17.79%    
rabbit                         mole                           17.31%    
rabbit                         shrew                          74.02%    
rabbit                         puffin                         99.57%    
rabbit                         owl                            16.85%    
rabbit                         bunny                          16.57%    
rabbit                         bear                           99.19%    
rabbit                         chipmunk                       16.94%    
rabbit                         cub                            97.19%    
rabbit                         acorn                          99.44%    
rabbit                         leaf                           17.22%    
rabbit                         cloud                          99.48%    
rabbit                         rainbow                        99.03%    
rabbit                         puddle                         17.59%    
rabbit                         berry                          99.48%    
rabbit                         apple                          99.77%    
rabbit                         honey                          16.37%    
rabbit                         pumpkin                        99.81%    
rabbit                         teddy                          16.63%    
rabbit                         blanket                        16.61%    
rabbit                         button                         99.33%    
rabbit                         whistle                        96.77%    
rabbit                         marble                         16.43%    
rabbit                         wagon                          97.65%    
rabbit                         storybook                      99.26%    
rabbit                         candle                         16.31%    
rabbit                         clover                         98.56%    
rabbit                         bubble                         16.44%    
rabbit                         cookie                         16.60%    
deer                           panda                          99.99%    
deer                           koala                          72.65%    
deer                           otter                          81.64%    
deer                           hedgehog                       97.09%    
deer                           squirrel                       91.67%    
deer                           dolphin                        93.55%    
deer                           penguin                        89.62%    
deer                           turtle                         85.82%    
deer                           elephant                       99.55%    
deer                           giraffe                        93.82%    
deer                           lamb                           85.20%    
deer                           goat                           86.20%    
deer                           cow                            92.36%    
deer                           horse                          98.72%    
deer                           donkey                         84.06%    
